index,short_hash,full_hash,date,author,type,pr_number,subject,files_changed,insertions,deletions
1,a9d8f81,a9d8f81a4a50e6315f8ea5839eca33b674b84941,2026-02-28,"Ahmed Amin Bejaoui",Commit,,"Add tests for analysis endpoints, webhook handling, and secret scanning",92,7241,0
2,407dd7c,407dd7c101234721c77ba719ca3051c64d02ece6,2026-02-28,"Ahmed Amin Bejaoui",Commit,,"Add collaboration guidelines, license, and security policy documents",3,55,0
3,899a980,899a980bded118d23322eb94fd989f1008ac39d9,2026-02-28,"Ahmed Amin Bejaoui",Commit,,"Add unit tests for RBAC authentication and secret store functionality",59,3848,326
4,a5bb45e,a5bb45ef8857d3a0fc46047f5f7cf4063c633a23,2026-02-28,"Ahmed Amin Bejaoui",Commit,,"Remove obsolete test files for GitHub webhook, RBAC authentication, secret scanning, and static analysis. These tests are no longer relevant to the current codebase and have been deleted to maintain a clean and efficient testing environment.",24,0,1135
5,1e9a46d,1e9a46d8eacbc537a5910898703cef02d2fc5f9a,2026-03-01,"Ahmed Amin Bejaoui",Commit,,"Implement change classification feature with database updates, model adjustments, and classification logic",12,661,3
6,59ccfa2,59ccfa2ba30b1fe419aa20171a9629d4f0ee2b19,2026-03-01,"Ahmed Amin Bejaoui",Commit,,"feat: add summary column to analyses and implement summarization service",13,814,308
7,c7505b3,c7505b34616c1424df8dd10882df764a98cabec9,2026-03-01,"Ahmed Amin Bejaoui",Commit,,"feat: integrate Ollama LLM for summarization service and update related configurations",7,214,86
8,346f3a6,346f3a654fe39f6774a7298fd729baa04510feed,2026-03-01,"Ahmed Amin Bejaoui",Commit,,"fix: update BASE_URL to use ngrok for development environment",1,1,1
9,3ae2f1e,3ae2f1e28dd8e46240a401937c6e8b149fcb7d7e,2026-03-01,"Ahmed Amin Bejaoui",Commit,,"fix: revert BASE_URL to localhost for local development",1,1,1
10,b858e7c,b858e7c54f872928c25abf2b131734ab98f04352,2026-03-03,"Ahmed Amin Bejaoui",Commit,,"feat(dashboard): add Tailwind CSS configuration and TypeScript support",18,6186,10
11,e977197,e977197330edfb88faed207ee128f1778d4008f4,2026-03-03,"Ahmed Amin Bejaoui",Commit,,"feat(auth): add authentication page with form and features overview",7,737,286
12,37383bf,37383bf0777ec755bed8cf005da3f170748670b0,2026-03-03,"Ahmed Amin Bejaoui",Commit,,"feat: enhance dashboard layout and content with new features and improved styling",3,319,185
13,dfdd0c7,dfdd0c7c1badf1a3f67fa260e7711e563dd797bf,2026-03-03,"Ahmed Amin Bejaoui",Commit,,"feat: add animated iridescent blob to homepage for enhanced visual appeal",2,87,7
14,3896cad,3896cad7a457bb3f59660f1d66e5ae9f2de670cb,2026-03-03,"Ahmed Amin Bejaoui",Commit,,"feat: add fade-in animations to header for improved user experience",1,16,2
15,5c4decf,5c4decfb813038c3943865d415b3de87c03a2166,2026-03-03,"Ahmed Amin Bejaoui",Commit,,"feat: add motion animations to homepage elements for enhanced user engagement",1,30,17
16,9b20ea5,9b20ea5ad6535c79d882eb68a61282602f9c6437,2026-03-03,"Ahmed Amin Bejaoui",Commit,,"feat: add motion effects to feature and trust layer cards for enhanced visual engagement",1,62,26
17,15255b3,15255b3810e4884c66876e2af29e999207c16e40,2026-03-03,"Ahmed Amin Bejaoui",Commit,,"feat: wrap section in motion div for enhanced animation effects",1,2,1
18,42dc2c3,42dc2c33459ff02c2367a03478dafb6ecb421073,2026-03-03,"Ahmed Amin Bejaoui",Commit,,"feat: integrate Clerk for authentication and add sign-in page",8,266,230
19,f169ad6,f169ad6c5821f384e952960cccabfadb185b5d19,2026-03-04,"Ahmed Amin Bejaoui",Commit,,"feat: implement theme mode toggle with dark/light mode support",4,155,7
20,25ce5a5,25ce5a591d10d1acc96d25fb9277b71146fa534d,2026-03-04,"Ahmed Amin Bejaoui",Commit,,"feat: add ThemeModeButton for theme switching and update page styles for improved aesthetics",2,6,2
21,edb907c,edb907c5cb2d3809f46aad8aa2ed55a3b2eca8a7,2026-03-04,"Ahmed Amin Bejaoui",Commit,,"feat: enhance navigation and reviews table with mobile menu support and improved styling",1,198,89
22,0b4465c,0b4465c08f882ab7408b8a822e1616013275f215,2026-03-04,"Ahmed Amin Bejaoui",Commit,,"feat: update dark theme colors and enhance navbar styling with notch effect",2,54,26
23,c8aed08,c8aed0846beb2e548cb23af29545ede27cb74b1e,2026-03-05,"Ahmed Amin Bejaoui",Commit,,"feat: add UI components and utilities for dashboard",174,22979,1250
24,ec2b023,ec2b023f21940cfb621ef7b4a07975c89fbfe124,2026-03-05,"Ahmed Amin Bejaoui",Commit,,"feat: implement user authentication sync endpoint and enhance role redirection logic",7,303,11
25,15f97d9,15f97d9ce55591c1fe5e1d0ea8c89f2dda2f8627,2026-03-05,"Ahmed Amin Bejaoui",Commit,,"feat: enhance user authentication sync endpoint with role handling and improve RBAC integration",8,127,17
26,5e554be,5e554be7a45bcb67d847943e594d5714dba42a2a,2026-03-06,"Ahmed Amin Bejaoui",Commit,,"feat: add icon SVG and update metadata with icon references",2,28,1
27,aa578ee,aa578eed43c26448e42d087e157dfbba10f9e2ab,2026-03-06,"Ahmed Amin Bejaoui",Commit,,"feat: implement organization and membership management with role handling",19,652,6
